"Frame","ROI0","ROI1","ROI2","ROI3","ROI4","ROI5","ROI6","ROI7","ROI8","ROI9","ROI10","ROI11","ROI12","ROI13","ROI14","ROI15","ROI16","ROI17","ROI18","ROI19","ROI20","ROI21","ROI22","ROI23","ROI24","ROI25","ROI26","ROI27","ROI28","ROI29"
49,41.412,45.85,83.25,40.797,137.952,107.769,66.7,52.705,46.941,34.034,63.292,55.173,63.486,47.51,36.345,49.312,42.625,34.695,47.029,50.788,53.295,56.083,44.275,31.886,45.562,35.944,55.41,55.044,54.293,51.222
50,36.388,39.388,73.2,37.312,152.571,102.404,87.367,49.432,48.765,30.303,61.573,48.04,62.486,44.569,38.56,37.938,32.359,34.671,44.765,45.212,49.246,49.097,45.1,37.591,33.75,36.028,48.115,47.162,61.086,50.875
51,34.987,41.95,69.55,42.891,119.429,93.154,77.417,58.432,54.412,36.494,63.271,64.587,58.027,47.333,37.702,51.188,36.062,40.768,34.471,44.942,53.738,54.208,48.438,33.273,45.833,42.639,49.623,57.294,56.052,55.542
52,37.987,59.375,60.383,46.828,118.857,96.712,72.45,55.955,57.647,33.989,58.354,57.16,56.568,49.255,31.476,45.312,36.703,36.939,33.441,52.942,57.23,50.042,45.287,33.773,35.979,37.556,49.18,52.191,59.603,49.431
53,76.9,77.338,59.417,44.672,110.429,79.038,62.967,51.977,50.794,36.438,64.094,56.573,58.135,54.824,40.905,45.271,33.312,34.22,34.824,52.827,53.885,54.597,43.525,27.659,33.562,49.556,55.836,46.221,57.259,53.361
54,89.838,72.6,58.483,35.094,115.095,87.75,47.883,47.182,49.676,35.798,65.375,51.107,65.162,42.157,38.452,39.396,35.703,40.939,26.824,54.577,55.475,61.861,57.362,30.455,37.458,45.25,59.525,47.426,52.483,53.889
55,80.088,62.4,61.517,36.359,107.524,90.058,42.483,50.955,47.353,34.551,93.979,61.667,88.243,47.373,36.357,47.917,36.562,37,31.382,61.885,55.098,51.431,56.8,38.818,42.521,33.972,65.23,48.309,58.138,51.597
56,64.3,53.525,62.667,42.672,100.81,82.788,44.417,59.545,57.118,34.562,110,50.813,83.243,51.353,35.19,37.604,40.641,30.402,31.088,56.538,63.902,59.889,56.362,58.205,36.604,38.222,49.869,46.838,58.603,49.167
57,57.15,52.05,65.533,36.375,111.143,79.212,42.967,49.341,47.618,35.674,101.823,60.12,69.432,42.863,36.429,41.979,36.516,36.232,32.235,51.75,53.623,60.042,58.612,58.455,37,37.694,53.18,48.912,62.379,55.681
58,52.362,77.537,57.767,41.875,120.048,82.981,45.333,53.818,52.853,37.326,97.01,58.827,74.676,42.647,36.036,41.271,35.922,39.512,34.765,56.981,55.115,54.125,71.637,42.591,31.896,39.389,54.852,45.735,53.81,53.403
59,50.825,83.725,58.367,42.562,122.857,82.885,42.933,45.136,44.118,33.157,76.271,57.573,67.108,47.686,39.107,36.271,38.359,36.963,28.147,47.712,52.279,53.667,66.35,49.068,39.812,41.944,53.213,53.779,59.293,54.556
60,53.55,65.325,64.217,40.609,98.857,83.442,42.75,54.864,59.676,39.18,75.396,51.56,69.73,50.98,36.833,42.5,37.094,33.963,33.765,48.5,56.803,50.681,67.3,55.045,47.125,39.611,52.869,48.824,62.345,54.153
61,83.65,56.013,63.433,43.625,96.667,79.596,40.017,51.773,49.147,36.326,67.25,57.613,68.243,51.706,34.19,40.979,32.797,33.061,26.059,47.558,52.525,55.014,60.525,52.864,40.354,51.222,49.033,56.309,62.534,47.569
62,88.062,56.612,61.333,46.312,81.571,85.596,40.717,51.386,51.265,46.146,61.521,58,59.081,41.196,38.81,45.708,38.594,39.756,30.471,42.904,64.918,55.25,56.75,52.5,37.917,55.528,49.885,51.103,55.207,56.681
63,77.887,43.8,60.233,36.828,90.571,81.096,47.95,61.045,53.618,49.315,55.5,60.507,68.081,42.157,38.024,42.729,36.047,39.817,58.618,50.308,53.754,56.181,52.362,56.318,38.583,51.444,55.344,48.25,58.672,54.236
64,64.125,46.737,59.4,35.844,73.286,78.212,43.6,50.068,47.294,45.18,57.344,56.267,70.324,43.922,36.548,40.875,35.828,38.915,83.382,41.115,56.033,55.694,48.375,48.409,36.542,59.944,51.246,47.471,58.586,51.722
65,59.812,49.4,62,42.75,90.238,80.885,37.667,55.477,42.088,37.506,62.583,61.987,59.838,43.51,36.56,41.479,40.062,40.012,81.353,46.942,52.049,61.389,48.088,47.227,53.812,51.667,56.738,49.265,59.052,51.417
66,56.037,54.638,63.617,33.078,87.952,89.135,40.867,49.091,50.294,42.169,61.958,54.853,77.568,48.078,37.155,39.521,40.812,36.061,68.265,62.173,57.328,58,48.562,50.477,43.75,50.028,55.836,50.544,62.879,51.014
67,66.725,85.512,78.667,44.906,80.81,93.865,39.433,48.318,50.912,41.427,58.417,56,60.73,43.51,37.619,42.771,36.219,40.988,49,56.038,55.148,56.181,51.987,47.227,36.354,50.306,46.77,45.456,58.517,53.417
68,80.675,80.938,93.267,38.109,99.762,105.058,35.667,51.523,45.382,39.112,65.24,60.253,71.378,43.765,33.857,41.771,33.188,37.683,44.206,61.558,56.262,58.083,45.463,40.909,36.354,50.306,45.262,48.162,49.5,51.403
69,86.525,69.25,79.433,38.344,100.381,118.635,43.733,50,51.559,36.101,58.906,55.227,61.541,45.725,33.369,43.292,42.406,38.573,43.941,66.519,59.279,55.903,47.25,53.705,45.938,52.778,53.705,48.353,58.828,46.347
70,75.65,73.95,76.55,38.188,97.524,106.731,46.683,47.477,51.735,39.461,67.781,58.093,58.324,43.902,37.464,43.229,38.016,40.024,40.765,70.75,48.836,58.167,53.45,53.341,43.083,54.417,47.557,49.706,57.086,52
71,54.362,77.6,68.85,38.188,91.333,98.923,43.083,48.136,44.706,40.146,58.167,54.853,66.216,49.078,37.81,44.688,35.75,44.244,38.088,67.923,54.131,62.528,49.487,42.75,42.708,51.944,51.262,49.676,70.793,54.736
72,54,71.287,58.733,38.719,81.048,84.308,36.867,52.364,47.265,42.854,64.542,58.68,68.027,43.706,36.286,44.271,40.531,37.951,35.441,57.75,53.23,61.111,47.775,44.523,44.062,47,48.508,51.309,72.707,52.208
73,49.138,58.175,71.617,36.453,94.095,86.462,38.917,58.091,75.706,37.629,62.688,59.293,57.351,48.137,41.274,41.021,38.969,32.927,36.382,55.115,54.541,53.153,45.987,34.136,38.229,42.167,53.131,51.265,69.586,57.472
74,43.912,59.025,60.433,32.859,71.952,88.038,52.183,64.455,98.618,37.045,64.188,53.707,76.162,50.765,33.31,42.688,40.328,37.171,35.235,56.423,53.443,49.903,47.463,31.841,36.479,47.722,54.426,55.397,63.931,52.028
75,43.125,43.237,59.6,44.125,59.905,87.096,41.75,68.364,98.529,37.708,65.844,49.36,59.216,45.902,35.024,45.625,40.594,35.427,42.471,47.231,59.033,52.097,46.375,34.545,36.25,49.028,51.967,50.118,65.5,54.069
76,36.625,53.963,62.9,38.75,93.857,95.385,41.4,59.409,78.382,34.438,65.323,57.707,53.432,45.196,40.988,40.729,39.125,38.207,28.824,48.212,49.213,57.167,50.338,30.114,44.875,38.167,53.164,56.015,63.328,56.042
77,36.725,70.425,76.217,42.391,103.857,90.327,42.5,57.795,70.941,34.73,59.146,58.44,63.838,51.255,40.286,43.542,36.984,35.402,35.912,53.712,53.508,58.236,56.7,36.045,41.896,46.389,51.705,45.735,60.517,55.222
78,37.312,83.5,84.083,38.641,98.429,96.558,36.933,63.205,71.971,38.236,61.74,60.613,59.27,45.961,38.393,41.354,37.984,40.183,28.882,60.327,51.328,55.514,52.85,26.227,56.188,35.417,52.279,47.691,58.448,55.444
79,36.425,77.225,92.333,39.094,128.714,102.981,48.017,53.023,67.853,37.292,64.146,60.373,56.135,39.294,39.131,46.229,34.344,38.646,32.882,50.212,55.328,58.458,48.8,33.682,64.958,46.139,52.246,45.926,64.948,56.292
80,36.325,58.713,88.317,40.094,119.667,117.269,41.717,54.5,63.029,33.787,59.677,58.787,62.946,48.549,37.524,48.938,42.906,37.012,39.794,51.827,53.721,52.847,50.213,31.932,60.792,39.972,49.656,47.529,66.793,59.069
81,34.088,57.987,76.833,41.812,97.667,110.692,41.5,53.182,56.676,32.506,63.427,58.56,55.514,46.922,32.464,48.271,56.203,38.598,34.147,58.423,59.41,54.958,47.963,40.295,47.958,44.222,54.377,48.162,57.224,53.153
82,40.2,48.3,71.183,36.406,90.429,103.135,40.933,54.591,67.676,34.348,61.656,66.493,53.081,55.255,38,42.667,76.266,39.768,36.941,62.231,51.426,58.083,51.05,48.818,42.312,42.806,46.574,45.147,62.017,53
83,41.5,45.775,61.517,44.141,87.857,108.577,35.05,57.773,58.559,34.326,63.281,53.64,56.054,44.941,34.869,40.062,86.375,37.963,32.5,68.442,57.803,62.25,52.15,56.864,42.646,44.944,55.885,44.426,58.207,51.75
84,40.088,45.325,64.95,42.75,99.238,87.865,34.267,57.5,59.176,37.573,62.802,63.627,56.676,53.471,40.131,37.646,79.484,39.402,47.059,52.846,50.705,56.389,49.213,47.636,39.271,38.861,58.082,48.294,60.707,50.778
85,39.338,50.1,61.817,36.516,103.143,90.154,43.217,51.341,66.088,37.382,63.094,58.027,60.405,49.549,40.845,51.229,72.672,39.329,27.941,49.192,54.787,53.333,48.062,33.909,34.833,37.639,49.508,42.059,58.534,57.847
86,34.575,48.225,59.9,41,104.762,97.635,42.633,56.159,60.559,35.157,57.104,58.067,57.973,44.412,47.619,37.208,92.219,39.671,38.176,55.962,55.639,59.069,51.112,44.932,37.479,44.222,55.377,51.809,67.983,58.069
87,40.125,47.825,58.967,41.141,109.762,97.885,46.667,52.523,52.294,34.292,59.74,60.427,68.27,47.255,63.333,35.771,82.562,39.976,79.824,62.058,51.885,57.236,65.775,35.364,41.458,45.389,45.738,46.456,63.914,56.431
88,35.037,66.287,63.633,43.688,89.476,87.577,45.4,53.091,59.676,36.382,64.562,54.373,68.135,44.275,61.107,40.042,83.281,36.878,85.882,68.327,58.033,59.861,65.812,36.045,35.667,40.139,50.77,47.162,65.69,49.431
89,36.312,81.925,61.767,34.641,87.238,88.981,48.067,53.091,52.324,34.124,61.385,58.467,57.838,42.059,53.75,39.292,69.031,33.915,71.029,61.058,52.492,60.917,69.588,30.273,41.333,35,61.525,50.279,63.172,51.611
90,35.65,70.387,59.367,39.547,79.762,91.846,47.7,44.432,50.441,33.966,60.604,55.453,59.703,37.333,48.774,44.354,57.172,39.439,61.794,68,56,55.417,63.688,28.227,35.688,38.389,53.639,42.382,51.517,55.361
91,39.9,71.1,56.8,47.656,72.524,84.423,47.1,45.205,62.647,35.472,61.156,60.44,58.73,48.765,44.19,44.417,54.812,37.268,55.265,57.5,52.246,58.986,60.763,32.409,39.333,36.5,51.148,47.441,62.19,47.292
92,36.175,60.4,63.65,40.547,74.429,84.135,44.05,51.477,58.029,33.652,63.667,58.627,58.216,49.294,44.512,37.521,42.672,36.646,37.294,57.673,51.557,49.667,66.387,34.341,41.208,32.889,50.148,45.324,61.879,55.778
93,41.688,59.45,67.05,43.375,54.571,86.288,44.033,51.955,58.765,29.742,60.75,54.44,59.541,47.314,39.655,41.062,39.75,40.244,37.206,64.404,57.82,56.472,53.225,34.114,42.625,37.472,52.705,55.779,64.914,51.403
94,32.213,67.338,64.933,44.219,50.619,89.365,44.683,58,56.029,35.921,70.302,59.56,57.189,42.471,42.19,43.75,50.75,34.878,45.059,63.327,49.984,53.708,53.312,32.818,34.542,34.778,48.623,47.368,59.328,52.611
95,32.675,68.825,60.033,61.5,57.81,87.269,40.233,54.227,53.912,33.618,57.427,58.267,60,49.216,43.869,32.375,44.828,36.585,38.382,72.519,50.246,53.056,61.225,27.591,40.292,36.139,45.475,47.5,58.966,53.111
96,35.763,63.2,66.2,52.094,55.286,83.231,39.283,49.682,49.559,38.303,66.76,59.587,52,46.706,40.5,36.521,40.172,37.305,33.382,63.115,58.508,64.125,57.713,32.773,51,40.639,51.033,50.735,71.069,52.056
97,35.787,56.263,59.517,41.234,89.381,76.173,43.867,52.523,53.265,31.978,66.26,59.827,53.595,45.471,36.226,48.438,42.406,32.707,32.529,58.25,54.41,60.347,56.85,30.545,70.292,41.611,50.443,49.044,61.379,49.292
98,35,67.025,61.433,48.891,78.524,86.481,41.483,53.136,50.235,35.213,64.26,56.067,49.405,44.314,33.345,43.958,43.703,39.476,33.588,51.308,48.951,56.792,51.9,33.182,54.208,31.75,47.197,46.294,59.897,56.889
99,29.337,76.938,58.3,44.797,83.571,75.538,45.333,62.818,46.765,37.135,62.802,59.133,55.676,43.51,43.095,41.062,39.203,40.171,38.941,50.019,53.902,58.333,58.375,31.227,51.062,34.944,42.984,49.706,63.345,52.139
100,36.075,72.475,67.9,35.531,59.095,86.346,40.067,58.977,59.882,35.775,61.354,65.133,59.108,40.784,36.631,38.938,44.078,35.451,49.794,51.923,59.246,54.639,52.775,35.795,41.042,39.056,48.443,51.515,59.586,50.764
101,34.375,66.012,62.183,48.688,78.143,83.25,43.917,69.227,54.853,37.652,64.042,60.147,65.892,43.686,38.369,39,40.766,37.976,77.618,47.923,56.902,53.931,46.05,30.409,42.125,39.722,48.393,47.765,54.81,46.486
102,36.237,53.487,56.783,44.766,61.667,86.731,37.45,59.523,50.029,33.921,64.531,58.4,59.649,40.98,34.179,42.312,34.641,37.89,90.676,47.846,52.754,61.528,51.1,35.045,42.417,37.111,48.082,51.088,63.103,51.736
103,33,51.938,58.233,40.281,53.619,90.404,41.883,50.477,61.882,38.517,67.125,49.133,53.757,38.941,36.44,47.646,37.172,37.488,79.618,49.385,55.508,61.028,66.363,33.136,37.417,39.056,47.262,52.147,60.31,49.653
104,33.25,46.362,63.85,42.234,73.286,82.885,45.683,55.136,46.412,38.067,60.583,54.067,54.297,47.627,38.429,44.625,43.578,33.61,64.647,47.962,45.77,61.903,73.65,32.341,36.688,39.639,46.393,49.956,62.603,52.917
105,35.162,44.263,56.333,40.672,63.714,85.519,44.217,44.75,55.971,36.225,65.292,55.107,57.297,47.314,36.119,43.5,39.953,38.207,55.706,51.173,50.443,58.583,69.863,35.295,40.917,36.694,41.246,51.456,61.879,46.097
106,41.688,48.188,55.85,40.891,58.238,81.115,38.267,55.068,48.824,35.303,60.833,53.587,61.811,44.804,35.869,40.667,39.172,35.841,44.588,50.942,53.18,57.333,67.375,33.364,35.125,33.833,46.426,47.676,62.414,51.736
107,37.912,49.6,61.933,36.203,55.476,82.769,50.083,49.523,48.206,33.213,62.302,61.573,56.027,46.333,34.31,41.417,44.719,42.134,47.265,39.135,56.721,51.736,54.775,34.227,39.354,28.528,49.672,52.029,57.655,48.125
108,30.337,46.162,54.667,37.281,55.476,90.692,40.667,52.273,47.353,32.326,63.312,53.253,68.703,44.49,38.643,42.104,39.125,35.598,34.618,39.827,54.475,55.806,55.688,29.932,36.5,43.389,47.803,46.25,60.879,54.403
109,32.812,66.037,61.117,38.016,50.524,82.269,42.233,46.432,50.441,33.079,62.031,58.613,60.108,44.275,40.571,40.75,38.531,36.817,39.059,46.404,70.475,53.556,83.037,31.614,30.75,39.222,48.18,50.897,54.897,51.972
110,33.475,77.125,59.683,41.938,52.81,87.385,40.2,54.955,45.029,33.955,60.635,56.08,55.622,47.667,38.238,39.688,42.422,40.744,35.147,55.462,74.623,48.972,83.475,30.045,37.604,38.278,52.787,43.853,62.379,48.819
111,35.9,79.863,66.083,39,63.762,87.981,37.717,49.023,53.765,34.517,65.094,52.373,63.784,50.569,37.56,47.229,44.516,33.695,34.353,48.5,79.246,54.403,78.85,33.477,37.854,40.111,51.098,56.132,57,57.181
112,35.025,70.475,61.75,37.391,52.286,80.692,41.8,57.205,54.912,35.225,60.385,57.013,53.432,40.804,36.238,42.167,41.203,34.183,37.853,58.423,80.787,58.806,68.738,36.432,40.833,29.972,51.721,43.25,53.379,53.625
113,39.138,57.588,65.233,36.516,52.857,79.865,41.683,56.045,51.5,39.326,62.24,49.773,56.216,41.961,34.405,46.5,43.484,31.134,29.676,63.904,107.508,57.278,59.412,26.886,36.104,44.139,47.18,50.088,66.81,54.583
