"Frame","ROI0","ROI1","ROI2","ROI3","ROI4","ROI5","ROI6","ROI7","ROI8","ROI9","ROI10","ROI11","ROI12","ROI13","ROI14","ROI15","ROI16","ROI17","ROI18","ROI19","ROI20","ROI21","ROI22","ROI23","ROI24","ROI25","ROI26","ROI27","ROI28","ROI29"
40,44.792,48.38,43.857,62.536,65.188,75.955,46.272,42.138,49.909,51.083,47.407,53.109,67.304,71.125,63.38,29.531,83.875,96.208,64.697,93.905,39.833,55.306,74.635,72.891,85.224,36.763,49.034,57.194,32.965,41.818
41,43.319,54.924,67.167,66.188,64.4,74.239,47.154,45.388,66.795,47.06,58.167,57.674,70.304,74.455,56.747,27.073,79.562,99.479,58.287,98.833,42.347,58.208,82.302,71.969,79.362,46.95,43.724,66.028,28.8,43.875
42,40.042,43.684,70.024,62.554,57.925,78.432,46.037,40.925,52.614,44.905,55.704,58.685,64.362,68.068,59.835,27.406,83.958,88.062,58.803,86.81,46.944,61.722,79.365,72.516,74.897,42.45,44.5,59.167,36.565,44.125
43,40.708,52.861,66.452,63.464,59.825,73.216,46.956,47.2,60.5,58.631,57.389,55.011,63.13,61.386,55.873,30.823,75.021,89.354,67.131,98.667,43.583,54.014,69.992,68.859,77.138,46.237,50.448,55.944,39.118,41.511
44,33.444,46.785,64.714,62.134,49.487,74.886,44.64,42.55,55.364,50.274,57.741,59.109,66.246,54.614,50.924,27.958,82.417,72.167,67.352,98.226,46.611,67.486,72.04,55.594,78.086,41.062,46.345,63.5,37.294,39.92
45,41.681,52.949,64.048,60.17,63.975,74.898,45.074,40.912,61.886,51.071,43.481,54.076,79.304,38.852,53.114,27.604,67.604,65.979,64.467,92.393,45.278,63.597,72.079,66.906,80.776,34.662,44.052,55.972,44.988,62.25
46,34.375,52.759,57.905,59.848,61.463,72.875,46.118,47.875,52.068,46.357,46.593,52.185,72.159,43.341,64.747,29.531,68.729,63.042,66.303,90.06,38.25,59.778,77.159,59.609,81.379,37.912,46.569,57.722,32.882,71.023
47,39.403,52.481,54.619,63.384,58.438,77.602,51.529,46.037,51.364,48.548,41.852,53.707,63.058,39.966,60.329,23.625,70.042,65.354,61.369,92.024,41.708,60.889,68.016,55.219,93.897,33.35,45.345,48.75,37.047,61.591
48,30.014,42.861,46.952,68.098,62.8,76.057,44.309,47.15,53.523,48.679,52.667,50.239,59.478,37.307,56.405,27.833,63.5,61.062,60.828,102.012,45.611,57.611,71.238,59.797,78.586,32.463,40.5,59.806,35.824,56.398
49,36.056,37.886,56.31,66.598,57.225,66.75,45.632,43.05,52.045,56.905,46.093,52.228,53.739,39.068,57.861,28.552,68.083,64.042,67.164,93.095,47.319,50.097,74.857,57.641,81.793,41.875,45.983,73.083,32.129,59.261
50,32.875,47.114,48.952,70.625,52.562,72.08,44.985,45.312,53.614,47.417,53.389,51.543,50.71,38.943,52.266,29.917,66.188,54.458,61.393,93.202,39.556,63.722,68.31,65.578,73.466,33.263,40.776,58.278,36.694,51.511
51,36.403,46.696,47.357,62.393,51.688,67.727,47.515,44.275,60.386,48.976,46.259,52.13,44.783,38.864,60.101,31.781,67.979,53.812,61.713,90.393,42.292,60,72.206,67.516,83.362,35.475,42.897,56.806,39.882,43.989
52,30.25,45.367,55.667,63.964,47.287,68.466,46.081,43.338,56.545,44.298,49.481,58.272,48.725,40.58,60.81,30.917,64.708,52.646,59.533,94.762,48.75,56.958,65.873,68.859,77.569,35.375,41.362,57.472,38.529,44.477
53,35.486,51.494,49.738,62.589,46.362,70.125,48.934,47.85,62.477,47.774,53.759,59.815,55.652,40.784,57.544,25.99,67.708,45.583,65.139,97.488,44.431,57.139,74.825,67.766,72.276,35.5,48.379,58.139,31.729,46.648
54,39.569,49.772,43.476,62.982,50.812,71.545,44.86,45.85,55.864,50.024,50.593,58.685,52.435,34.648,56.861,29.885,73.375,61.979,60.607,93.095,50.236,54.819,72.571,57.094,84.828,33.188,48.293,57.75,37.012,45.034
55,36.736,45.608,43.333,61.357,61.037,76.057,47.36,38.013,56.795,48.536,57.944,50.196,47.246,35.148,56.481,29.979,86.562,91.25,61.008,104.381,44.653,60.111,78.992,68.031,83.914,35.575,51.017,64.222,34.365,47.432
56,59.111,46.43,46.048,60.062,57.838,76.398,45.926,42.05,52.5,48.893,61.278,52.185,46.957,36.682,61.924,29.583,74.167,98.75,58.123,100.321,47.403,56.597,78.27,58.062,83.017,35.487,57.328,58.361,33.235,42.602
57,69.347,48.367,46.262,61.188,49.438,72.875,49.037,45.213,48.477,51.381,58.167,50.793,55.942,38.205,62.38,32.698,82.792,92.208,59.484,94.56,47.194,55.556,66.365,71.531,69.845,32.263,65.466,62,34.506,55.648
58,60.722,48.063,59.238,62.884,59.425,75.295,47.066,41.662,54.477,52.5,51,51.522,44.188,36.75,62.608,26.521,68.625,89.208,61.582,105.619,40.375,48.486,93.159,63,76.914,27.038,61.741,66.028,32.106,70.852
59,59.75,46.038,72.881,61.92,54.138,77.659,48.875,48.45,45.705,54.19,50.278,52.065,43.913,41.659,56.873,27.781,75.292,93.167,65.762,91.738,43.514,63.486,93.587,61.781,78.103,33.463,52.828,60.583,35.188,67.568
60,43.111,47.101,72.69,64.839,54.825,75.239,44.559,39.9,52.773,50.81,54.37,56.196,49.29,38.807,55.418,26.531,67.104,68.146,62.598,92.679,43.722,58.917,99.341,65.875,74.793,33.787,56.828,53.389,31.6,66.239
61,43.764,46.759,78.619,58.688,41.95,71.875,50.743,42.638,53.591,49.833,56.611,44.054,41.29,39.386,54.215,30.969,62.104,67.229,59.377,93.905,41.431,57.361,97.746,57.781,87.793,29.138,56.552,56.167,31.682,61.443
62,31.861,51.152,63,67.866,47.537,73.727,49.118,44.925,53.977,46.893,53.352,50.674,46.449,38.42,56.405,32.344,63.708,62.833,58.336,103.298,44.833,52.472,96.302,67.75,75.948,30.95,60.172,54.028,36.471,50
63,34.792,45.899,53.595,58.732,69.312,76.75,45.257,43.2,51.818,50.321,56.63,57.62,52.333,45.352,52.241,28.25,67.854,65.438,61.221,96.429,43.319,53.458,89.254,65.891,72.81,40.037,55.052,56.167,37.259,52.841
64,35.222,41.848,47.738,60.714,62.475,76.636,47.625,48.9,52.977,49.679,47.889,52.337,61.362,41.045,55.418,24.667,54.729,60.396,58.549,93.595,43.722,59.347,89.405,60.125,75.759,45.237,47.707,45.611,39.894,43.773
65,30.694,45.19,46.143,58.062,64.4,73.636,50.596,46.05,56.773,46.345,47.648,55.793,69.333,41.125,57.063,27.771,64.708,51.062,60.705,104.071,45.472,61.958,89.381,66.5,79.759,42.375,58.879,52.25,31.553,47.977
66,32.111,48.19,44.905,60.089,60.375,76.398,42.154,43.85,66.523,51.357,48.833,58.087,71.304,39.352,56.861,29.833,77.5,56.125,60.844,108.619,45.833,58.431,85.595,63.703,75.345,37.263,46.621,62.111,37.988,47.011
67,37.653,50.797,44.905,58.42,67.137,72.409,40.934,43.237,55.023,46.845,40.611,58.978,66.493,34.443,56.342,25.594,61.354,46.708,58.123,99.083,44.347,58.819,81.151,59.984,70.81,38.588,48.207,65.361,35.694,38
68,33.542,43.367,51.762,63.58,64.662,73.568,44.868,44.075,52.955,50.5,56.241,60.5,68.899,42.659,54.582,24.552,81.271,67.062,58.943,97.321,40.944,61.444,83.23,63.453,78.069,38.013,47.362,54.472,35.376,41.955
69,39.194,45.975,47.595,59.384,62.375,78.432,45.338,42.575,46.932,54.643,58.259,52.793,72.609,49.352,61.646,27.49,82.188,99.062,61.967,88.369,39.306,53.222,74.183,72.5,77.569,35.612,49.931,62.389,38.365,42.443
70,34.653,60.266,51.048,65,60.013,80.727,46.838,41.825,48.205,47.393,55.741,52.446,67.087,64.875,55.937,29.698,80.833,87.042,57.484,93.286,42.722,49.458,72.81,63.938,79.534,37.787,46.19,54.611,35.129,43.057
71,62.861,50.089,42.024,65.348,56.2,76.091,55.147,49.125,60.568,56.762,48.5,56.37,63.014,57.648,54.241,28.615,81.958,75.062,62.418,95.595,46.458,60.917,78.516,63.312,74.741,31.962,50.207,73.139,33.318,53.784
72,62.431,50.215,40.929,59.295,53.4,72.034,47.279,42.65,60.455,48.81,56.352,52.87,60.13,57.125,47.114,30.26,75.833,83.896,59.984,87.738,47.014,65.264,77.984,59.016,81.448,28.438,56.31,70.5,34.106,69.898
73,58.278,44.582,50.452,60.625,50.037,74.364,41.272,46.025,55.386,52.31,59.87,48.88,49.014,48.784,52.633,31.365,80,77.229,54.721,91.417,49.111,55.167,73.643,64.391,82,33.263,46.276,70.139,33.847,73.534
74,47.833,52.203,50.595,60.777,49.562,70.648,49.14,46.45,59.091,50.833,58.389,48.598,55.623,36.25,53.886,25.052,68.854,60.312,59.32,92.452,44.528,58.333,75.452,53.953,73.759,32.987,53.517,68,36.659,65.92
75,42.889,43.266,61.762,55.473,56.225,73.432,44.919,41.487,55.886,51.619,56.944,48.685,51.391,39.159,56.924,28.479,61.5,53.521,56.303,100.881,37.306,51.833,71.357,69.859,71.483,35.075,54.293,69.861,35.718,62.682
76,41.153,48.481,58.095,56.045,65.275,75.057,38.794,35.412,57.568,46.429,54.093,51.88,48.029,40.534,52.709,23.927,63.333,61,63.131,98.488,40.194,53.194,70.357,62.438,85.69,31.175,63.138,56.333,40.376,50.239
77,36.792,45.241,65.476,65.295,56.3,72.273,45.088,46.588,50.477,51.274,50.093,52.533,44.29,41.375,54.684,26.885,55.688,55.208,64.861,93.548,40.417,53.375,73.738,67.656,66.69,38.15,55.259,64.75,35.541,47.693
78,35.306,52.481,63.071,60.866,54.475,77.42,45.809,42.325,55.795,50.524,49.556,55.022,43.174,37.682,55.241,28.167,63.292,56.875,64.844,95.762,39.514,55.819,69.508,57.672,77.603,32.425,53.034,67,32.4,47.466
79,32.778,65.696,51.119,69.812,50.9,75.818,46.118,44.537,50.5,49.821,45.907,57.283,51.348,34.636,55.557,25.312,59.729,57.917,62.459,96.976,41.792,57.625,64.294,53.984,74.914,33.325,57.086,67.889,36.694,41.875
80,28.986,62.987,49.69,65.357,53.362,74.864,47.243,45.537,62.841,51.798,48.611,55.511,42.884,38.432,47.937,29.896,57.917,50.833,62.672,104.417,38.333,59.958,68.778,57.5,73.966,36.062,49.931,69.333,39.035,39.227
81,36.528,54.076,49.357,59.223,45.838,73.523,44.61,44.9,57.841,49.702,40.907,54.087,52.565,36.966,56.266,27.823,61.812,50.062,58.541,93.75,46.889,55.5,63.056,67.703,76.948,32.138,55.172,60.917,33.012,38.25
82,33.986,51.443,50.619,60.455,68.325,72.875,44.699,45.513,52.068,53.036,49.333,49.87,47.536,36.125,53.658,29,72.458,57.938,62.516,104.06,43.542,62.736,72.246,71,79.638,31.163,61.948,67.917,35.529,43.682
83,33.361,44.316,49.238,62.75,61.763,76.534,41.735,43.325,50.114,52.19,46,53.543,42.304,39.761,55.127,30.708,92.812,105.729,68.262,94.893,40.75,54.931,66.952,78.234,75.069,39.138,57.828,60.528,36.518,42.068
84,36.25,48.316,46.381,58.625,55.025,75.136,43.125,44.513,49.614,49.345,43.537,50.478,50.638,38.886,58.709,50.771,71.146,92.979,66.484,97.179,40.181,55.208,65.754,79.766,76.086,36.862,56.983,53.833,36.306,41.33
85,32.042,41.785,47.357,64.893,52.575,73.716,46.221,52.85,61.5,54.25,55.259,56.913,46.043,41.727,56.722,52.479,79.458,77.479,60.697,101.119,39.708,55.486,69.421,75.828,69.362,38.3,48.828,63.889,33.682,37.477
86,34.667,46.962,54.048,61.812,51.438,72.705,48.294,46.537,53.273,47.881,50.37,51.489,43.783,43.068,51.633,55.542,66.625,73.021,59.123,102.179,39.833,57.556,77.508,67.109,67.517,38.125,52.517,62.833,35.871,39.42
87,33.722,49.177,44.643,57.312,49.55,71.102,43.096,42.188,61.636,52.202,45.333,45.946,47.942,40.273,60.063,51.219,68.875,75.146,59.262,99.202,40.778,56.208,76.23,61.922,76.879,36.125,51.207,62.139,38.459,46.409
88,31.806,48.165,50.833,63.598,48.5,73.875,48.801,43.312,49.75,47.845,57.537,51.75,47.623,39.92,54.165,38,73.354,69.125,64.705,98.119,39.597,59.208,83.5,63.562,74.638,31.438,47.207,57.583,36.929,38.523
89,33.569,50.228,49.619,58.571,56.625,71.489,42.588,47.737,48.705,52.881,48.759,49.837,49.855,42.205,51.19,31.583,62.667,60.812,62.811,90.845,33.847,52.875,73.167,68.516,75.638,33.963,54.914,54.556,35.282,62.148
90,31.764,48.076,45.119,60.616,59.287,76.386,37.037,43.688,48.455,46.917,44.833,51.554,46.797,34.773,61.759,33.052,61.979,63.167,68.254,91.643,39.681,56.028,71.532,65.672,72.293,43.162,51.552,54.417,37.424,64.432
91,33.972,58.759,48.881,64.679,56.213,73.807,46.051,45.362,47,51.333,51.907,49.804,55,38.602,59.127,27.031,82.062,55.5,64.074,91.631,43.264,62.514,68.984,68.578,76.276,42.688,51.81,60.639,38.435,56.591
92,40.542,46.975,56.5,59.393,50.412,81.75,49.471,49.45,55.886,53.298,56.889,52.326,47.899,34.739,53.658,25.646,71.25,61.042,67.123,99.286,36.597,54.097,75.762,70.984,71.845,36.625,56.431,51.333,39.929,56.568
93,64.833,53.544,46.333,59.598,52.2,70.864,48.956,41.025,52.045,51.679,56.148,54.609,45.261,62.398,60.329,29.677,79.875,56.562,61.975,96.798,35.792,61.417,72.69,74.094,83.638,35.588,48.793,65.111,30.706,53.193
94,58.694,42.329,47.762,62.179,49.162,75.92,47.493,40.463,51,51.095,50.093,48.576,46.899,63.341,60.127,26.812,68.5,51.125,69.861,92.321,36.819,60,70.643,73.5,71.259,38.388,59.552,58.278,30.565,43.955
95,45.972,49.266,51.952,59.562,48.812,73.659,41.691,38.138,52.25,51.417,54.259,53.207,47.696,64.489,52.051,30.302,56.438,59.062,61.139,88.845,42.986,50.903,69.548,66.953,75.707,34.838,53.431,51.944,36.4,42.92
96,40.306,39.671,45.048,65.768,44.4,73.92,39.64,49.713,46.727,53.81,52.185,48.228,60.812,52.932,62.291,28.094,74.646,50.771,58.484,97.929,37.472,66.083,65.69,69.172,75.328,32.188,54.569,54.639,36.694,44.682
97,41.028,54.127,44.214,68.384,52.513,76.364,42.11,41.2,53.205,50.333,54.574,47.054,72.667,43.08,64.266,27.094,64.771,49.896,60.426,92.381,43.181,48.792,71.444,65.344,71.431,36.05,46.466,58.5,34.141,45.045
98,38.639,45.772,49.929,62.714,55.875,77.148,47.441,49.612,52.568,50.774,49.167,53.043,71.203,42.023,54.19,31.208,73.354,52.562,58.664,93.917,42.361,62.611,66.873,65.281,87.276,30.5,57.983,50.472,33.506,43.102
99,38.222,43.329,50.595,59.732,65.275,68.318,45.221,44.763,50.023,49.869,44.852,51.337,69.029,36.83,60.873,32.646,60.396,46.354,62.008,99.679,40.736,57.319,71.278,56.422,69.103,36.1,46.31,61.389,34.824,46.125
100,36.389,50.519,39.429,61.759,50.112,63.148,43.853,42.638,57.886,48.631,57.093,50.348,69.188,39.784,59.063,29.427,80.854,104.792,69.434,102.56,41.542,57.472,66.127,58.234,74.293,27.925,51.172,58,30.941,65.216
101,35.222,42.772,44.333,59.741,48.675,70.534,37.485,41.325,65.045,47.119,50.833,52.598,65.768,39.989,54.43,26.646,87.604,81.5,59.672,89.274,43.042,58.472,64.468,55.531,77.914,38.688,56.724,50.556,39.176,70.08
102,32.806,48.962,43,61.062,51.2,70.682,39.272,44.138,51.182,57.119,46.5,51.75,65.246,38.455,49.57,30.625,72.208,82,62.41,90.762,43.389,56.722,65.595,56.625,70.328,32.1,57.983,63.333,40.306,69.42
103,42.556,58.608,45.19,56.598,46.162,70.455,45.478,44.375,46.432,52.643,47.63,52.207,66.681,39.682,55.759,28.271,82.083,68.958,62.377,100.917,42.347,64.278,77.405,61.688,70.724,38.1,55.862,64.222,36.941,60.375
104,56.375,59.532,49.333,62.312,51.263,72.625,51.485,43.9,51.909,50.619,53.889,67.87,72.783,44.966,58.696,29.146,74.875,70.729,60.148,92.238,44.597,51.903,97.778,67,75.914,35.312,44.879,48.361,33.424,56.648
105,56.125,51.873,44.262,62.295,66.675,69.545,43.25,40.05,55.273,47.5,46.056,63.717,68.855,42.284,59.228,28.573,62.229,64.979,56.066,97.381,41.292,59.167,102.77,65.922,79.466,33.037,57.879,55.528,35.212,47.75
106,46.625,55.392,45.381,57.875,61.088,69.205,43.132,42,56.386,53.131,51.315,67.076,56.536,41.33,56.127,27.062,79.938,63.229,57.984,91.583,41.194,58.917,94.643,62.422,73.017,34.3,62.138,56.028,34.906,51.42
107,42.986,56.43,44.381,56.571,57.6,71.136,36.794,41.7,56.477,50.845,57.426,64.62,56.609,37.205,58.532,24.74,85.604,55.25,62.262,103.381,34.333,58.819,101.079,59.953,81.052,36.037,57.345,50.972,33.082,43.545
108,44.25,47.671,43.548,57.875,54.138,73.205,42.125,42.662,55.727,54.476,59.519,59.359,52.275,36.693,49.253,28.698,81.479,55.604,60.885,91.44,40.778,54.542,101.04,60.625,78.345,35.625,50.741,59.778,31.906,43.545
109,40.958,44.443,43.452,56.277,52.062,77.591,42.522,40.138,52.864,49.262,48.963,52.489,50,36.443,60.658,30.229,67.104,56.125,54.32,97.321,41.333,57.444,94.667,65.969,80.379,35.938,52.397,57.611,35.847,43.352
110,42.625,46.228,43.976,57.777,48.125,72.705,44.103,40.737,57.841,51.143,50.981,51.87,55.319,35.386,55.342,25.344,71.333,48.667,55.213,96.071,39.931,62.778,96.714,63.156,69.259,34.188,52.345,65.083,36.565,40.352
111,31.472,47.241,46.286,59.58,40.05,67.773,43.029,42.55,46.5,52.548,46,48.478,44.478,39.636,56.228,24.635,70.688,44.854,58.689,94.524,45.542,58.556,78.841,59.625,72.966,32.925,47.862,46.861,41.682,39.25
112,31.333,45.316,53.619,64.107,48.513,64.136,38.662,46.862,59.841,45.714,57.167,51.239,46.435,42.045,51.797,28,71.438,51.708,60.418,96.869,40.583,57.917,85.389,66.172,72.052,30.612,49.638,63.278,38.929,41.216
